NA-38,Dera Ismail Khan,KP,Muhammad Ali Raza,IND,95
NA-38,Dera Ismail Khan,KP,Moulana Fazal Ur Rehman,MMA,40
NA-39,Dera Ismail Khan,KP,Muhammad Yaqoob Sheikh,PTI,10690
NA-39,Dera Ismail Khan,KP,Moulana Fazal Ur Rehman,MMA,7899
NA-40,Bajaur Agency,FATA,Gul Afzal,ANP,1705
NA-40,Bajaur Agency,FATA,Gul Dad Khan,PTI,1563
NA-40,Bajaur Agency,FATA,Sardar Khan,IND,1563
NA-41,Bajaur Agency,FATA,Sultan Zeb Khan,IND,815
NA-41,Bajaur Agency,FATA,Gul Zafar Khan,PTI,813
NA-41,Bajaur Agency,FATA,Abdur Rasheed,MMA,124
NA-41,Bajaur Agency,FATA,Qari Abdul Majeed,IND,98
NA-43,Mohmand Agency,FATA,Noor Ul haq Qadri,PTI,9337
NA-43,Mohmand Agency,FATA,Shah Jee Gul Afridi,IND,7200
NA-45,Khyber Agency,FATA,Syed Jamal,PTI,2603
NA-45,Khyber Agency,FATA,Malik Fakhar Zaman Bangas,IND,2059
NA-46,Kurram Agency,FATA,Sajid Hussain Turi,PPPP,75
NA-46,Kurram Agency,FATA,Ibrar Hussain Jaan Turi,IND,3
NA-46,Kurram Agency,FATA,Syed Irshad Hussain,IND,1
NA-46,Kurram Agency,FATA,Syed Iqbal Mian,PTI,1
NA-47,Orakzai Agency,FATA,Abdul Shahid,IND,369
NA-47,Orakzai Agency,FATA,Malik Gul Karim Khan,IND,270
NA-48,North Waziristan Agency,FATA,Mohsin Javed,IND,1133
NA-48,North Waziristan Agency,FATA,Misbah Uddin,MMA,658
NA-48,North Waziristan Agency,FATA,Nek Muhammad Khan,IND,167
NA-48,North Waziristan Agency,FATA,Malik Ghulam Khan,PPPP,48
NA-48,North Waziristan Agency,FATA,Muhammad Iqbal Khan,IND,6
NA-49,South Waziristan Agency,FATA,Muhammad Jamal Uddin,MMA,6
NA-49,South Waziristan Agency,FATA,Sher Pao,IND,4
NA-49,South Waziristan Agency,FATA,Qayum Sher,IND,4
NA-51,FR Tank,FATA,Qaisar Jamal,PTI,498
NA-51,FR Tank,FATA,Abdul Shakoor,MMA,310
NA-51,FR Tank,FATA,Baz Gul,IND,37
NA-53,Islamabad,ICT,Imran Ahmad Khan Niazi,PTI,2234
NA-53,Islamabad,ICT,Shahid Khaqan Abbasi,PML-N,745
NA-54,Islamabad,ICT,Asad Umar,PTI,13582
NA-54,Islamabad,ICT,Anjum Aqeel Khan,PML-N,5603
NA-55,Attock,Punjab,Tahir Sadiq,PTI,12600
NA-55,Attock,Punjab,Shiekh Aftab Ahmed,PML-N,730
NA-56,Attock,Punjab,Tahir Sadiq,PTI,2135
NA-56,Attock,Punjab,Malik Sohail Khan,PML-N,1572
NA-56,Attock,Punjab,Sardar Saleem Haider Khan,PPPP,219
NA-57,Rawalpindi,Punjab,Shahid Khaqan Abbasi,PML-N,2503
NA-57,Rawalpindi,Punjab,Sadaqat Ali Abbasi,PTI,1820
NA-58,Rawalpindi,Punjab,Fazal Muhammad Khan,PTI,6818
NA-58,Rawalpindi,Punjab,Raja Pervaiz Ashraf,PPPP,6161
NA-58,Rawalpindi,Punjab,Raja Muhammad Javaid Ikhlas,PML-N,30
NA-59,Rawalpindi,Punjab,Ghulam Sarvar Khan,PTI,81
NA-59,Rawalpindi,Punjab,Raja Qamar Ul Islam,PML-N,18
NA-59,Rawalpindi,Punjab,Chaudhry Nisar Ali Khan,IND,18
NA-62,Rawalpindi,Punjab,Sheikh Rashid Ahmad,AML,12741
NA-62,Rawalpindi,Punjab,Daniyal Chaudhry,PML-N,8645
